SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_RD2_TT-TT | designator | RD2 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RD3_TT-TT | designator | RD3 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RD4_TT-TT | designator | RD4 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RNPC10_CAN | designator | RNPC10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RNPC20_CAN | designator | RNPC20 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RNPC5_CAN | designator | RNPC5 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RR10_CAN | designator | RR10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RR16_CAN | designator | RR16 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RR23_CAN | designator | RR23 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RR30_CAN | designator | RR30 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_RR4_CAN | designator | RR4 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_TK502_NAM | designator | TK502 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_TK504_NAM | designator | TK504 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS10_FZ-FZ | designator | ATS10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS11_FZ-FZ | designator | ATS11 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS12_FZ-FZ | designator | ATS12 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS14_FZ-FZ | designator | ATS14 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS15_FZ-FZ | designator | ATS15 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS16_FZ-FZ | designator | ATS16 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS18_FZ-FZ | designator | ATS18 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS19_FZ-FZ | designator | ATS19 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS20_FZ-FZ | designator | ATS20 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS3_FZ-FZ | designator | ATS3 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS4_FZ-FZ | designator | ATS4 | desene_uymayan_kod_name_alanina_yazildi
