code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
TEDDY,EUROCONTROL NMOC,3,3,"dp_icao,dp_adhp",TEDDY
TIGER,EUROCONTROL NMOC,3,3,dp_icao,TIGER
TP1,BUNDESWEHR,3,3,dp_other,"NORTHSEA TP 1,LILLY TP 1,SANDRA TP1"
TP2,BUNDESWEHR,3,3,dp_other,"NORTHSEA TP 2,LILLY TP 2,SANDRA TP2"
TULIP,EUROCONTROL NMOC,3,3,dp_icao,TULIP
VEGAR,EUROCONTROL NMOC,3,3,dp_icao,VEGAR
W2,AUSTRO CONTROL GMBH,3,3,dp_other,"W2 (LOWK),WHISKEY 2 (LOWI),W2 (LOAU)"
AAA20,ENAV,2,2,dp_icao,"BAU,CIAO"
ABASA,EUROCONTROL NMOC,2,2,dp_icao,ABASA
ABBEY,EUROCONTROL NMOC,2,2,dp_icao,ABBEY
ABLAN,EUROCONTROL NMOC,2,2,dp_icao,ABLAN
ABM,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,2,2,dp_other,"ABM CALINOG,ABM LAKAWON"
ABUMI,EUROCONTROL NMOC,2,2,dp_icao,ABUMI
ACORD,EUROCONTROL NMOC,2,2,dp_icao,ACORD
ACTOR,EUROCONTROL NMOC,2,2,dp_icao,ACTOR
ADDUM,EUROCONTROL NMOC,2,2,dp_icao,ADDUM
ADMIS,EUROCONTROL NMOC,2,2,dp_icao,ADMIS
AGADA,EUROCONTROL NMOC,2,2,dp_icao,AGADA
AILEY,EUROCONTROL NMOC,2,2,dp_icao,AILEY
AKAGI,EUROCONTROL NMOC,2,2,dp_icao,AKAGI
AKASE,EUROCONTROL NMOC,2,2,dp_icao,AKASE
AKAYU,EUROCONTROL NMOC,2,2,dp_icao,AKAYU
AKOMA,EUROCONTROL NMOC,2,2,dp_icao,AKOMA
ALAKA,EUROCONTROL NMOC,2,2,dp_icao,ALAKA
ALCOT,EUROCONTROL NMOC,2,2,dp_icao,ALCOT
ALDEL,EUROCONTROL NMOC,2,2,dp_icao,ALDEL
ALDEN,EUROCONTROL NMOC,2,2,dp_icao,ALDEN
ALI,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,2,2,dp_other,"ALIMODIAN,ALIGUAY"
ALLEE,EUROCONTROL NMOC,2,2,dp_icao,ALLEE
ALLEY,EUROCONTROL NMOC,2,2,dp_icao,ALLEY
ALMUS,EUROCONTROL NMOC,2,2,dp_icao,ALMUS
