ident,data_originator,adet,farkli_koordinat,tablolar,isimler
IATA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IATY,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAU,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IAY,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IAYT,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IB,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
IBA,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IBAT,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IBC,ROMANIA CIVIL AVIATION AUTHORITY,3,3,"ils_loc,ils_gp,ils_dme",
IBCD,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IBDA,EUROCONTROL NMOC,3,3,"ils_loc,ils_gp,ils_dme",
IBDM,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IBDR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IBG,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,2,"ils_loc,ils_gp,ils_dme",
IBI,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IBI,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IBI,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IBIN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IBK,KYRGYZAERONAVIGATSIA (KYRGYZ REPUBLIC ANSP),3,3,"ils_loc,ils_gp,ils_dme",
IBL,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IBL,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IBL,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IBM,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IBM,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IBN,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IBN,ROMANIA CIVIL AVIATION AUTHORITY,3,3,"ils_loc,ils_gp,ils_dme",
IBO,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IBOH,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IBP,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IBR,NAV CANADA,3,2,"ils_loc,ils_gp,ils_dme",
IBR,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IBRI,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IBS,ROMANIA CIVIL AVIATION AUTHORITY,3,3,"ils_loc,ils_gp,ils_dme",
IBU,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IBV,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IBW,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IBX,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IBZ,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ICA,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
ICD,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ICH,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
ICIG,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICK,AIRNAV IRELAND,3,3,"ils_loc,ils_gp,ils_dme",
ICK,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
ICK,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
ICKR,DHMI TURKIYE,3,3,"ils_loc,ils_gp,ils_dme",
ICKU,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICN,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
ICN,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ICNG,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICNK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICRD,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICRL,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICRM,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ICS,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
ICV,ROMANIA CIVIL AVIATION AUTHORITY,3,3,"ils_loc,ils_gp,ils_dme",
IDAO,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IDBN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IDC,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IDE,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
IDF,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IDLM,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IDN,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IDP,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
